response_id,timestamp,question,response_chunks,final_response,sources,confidence_score,processing_time_ms,tokens_used,model_used,cache_hit,stream_duration_ms,chunk_count,error_message
59f67471-aa22-4c03-9a51-97685b120047,2025-09-02T16:20:05.692692,Test streaming question avec ID,"[""Test"", "" chunk"", "" response""]",Test chunk response avec ID,"[""stream.pdf""]",0.88,2000.0,150,claude-3,True,1950.0,3,
62809dd6-b76e-4273-9486-5f5d18ce9cfb,2025-09-02T16:39:35.142659,Test question stream,,Test final response,,,150.2,,test_model,,,5,
197b763f-3705-45b1-9a39-fe45ea109771,2025-09-02T20:59:05.865858,Les accidents de travail,,,,,1395.35,,mistral,,,,Clé API manquante pour Provider.MISTRAL
bfe002c5-7e9f-4c4e-832f-f40f4bd6f9cb,2025-09-02T21:10:50.337232,Salut,"[""Salut"", "" !"", "" Comment"", "" puis-je"", "" vous"", "" aider"", "" aujourd'hui"", "" ?""]",Salut ! Comment puis-je vous aider aujourd'hui ?,,0.95,428.9,,predefined_qa,True,428.9,8,
78e17e3a-49cd-4ae0-96d4-ee7b2372bbbe,2025-09-02T21:39:48.779633,Bonjour,"[""Bonjour"", "" !"", "" Comment"", "" puis-je"", "" vous"", "" aider"", "" aujourd'hui"", "" ?""]",Bonjour ! Comment puis-je vous aider aujourd'hui ?,,0.95,463.59,,predefined_qa,True,463.59,8,
7dc9ceb2-8ce8-41b8-b923-ea5188e8d99f,2025-09-03T17:40:57.981414,Allocation familiale,"[""Les"", "" allocations"", "" familiales"", "" de"", "" la"", "" CSS"", "" sont"", "" vers\u00e9es"", "" mensuellement."", "" Le"", "" montant"", "" varie"", "" selon"", "" le"", "" nombre"", "" d'enfants"", "" \u00e0"", "" charge"", "" et"", "" leur"", "" \u00e2ge."", "" Pour"", "" conna\u00eetre"", "" le"", "" montant"", "" exact"", "" applicable"", "" \u00e0"", "" votre"", "" situation,"", "" veuillez"", "" consulter"", "" le"", "" bar\u00e8me"", "" en"", "" vigueur"", "" aupr\u00e8s"", "" de"", "" votre"", "" agence"", "" CSS.""]","Les allocations familiales de la CSS sont versées mensuellement. Le montant varie selon le nombre d'enfants à charge et leur âge. Pour connaître le montant exact applicable à votre situation, veuillez consulter le barème en vigueur auprès de votre agence CSS.",,0.85,2332.88,,predefined_qa,True,2332.88,41,
2b9a6310-8a6c-4700-aa3b-10fadfbe997f,2025-09-04T16:01:06.649184,Les prestations,"[""D"", ""'"", ""apr"", ""\u00e8s"", "" les"", "" sources"", "" four"", ""n"", ""ies"", "","", "" les"", "" Pre"", ""stations"", "" en"", "" Nature"", "" Action"", "" San"", ""itaire"", "","", "" Social"", ""e"", "" et"", "" Famil"", ""iale"", "" ("", ""A"", "".S"", "".S"", "".F"", "")"", "" ont"", "" pour"", "" object"", ""if"", "" de"", "" compl"", ""\u00e9ter"", "" les"", "" prest"", ""ations"", "" en"", "" esp\u00e8ces"", "" pour"", "" prot\u00e9"", ""ger"", "" la"", "" m\u00e8re"", "" et"", "" l"", ""'en"", ""fant"", "" en"", "" pall"", ""iant"", "" les"", "" ins"", ""uff"", ""is"", ""ances"", "" du"", "" syst\u00e8me"", "" national"", "" de"", "" sant\u00e9"", "" ("", ""Source"", "" "", ""1"", "" et"", "" Source"", "" "", ""2"", "").\n\n"", ""Il"", "" est"", "" \u00e9galement"", "" pr\u00e9cis"", ""\u00e9"", "" que"", "" les"", "" prest"", ""ations"", "" famil"", ""iales"", "" ne"", "" sont"", "" pas"", "" inclus"", ""es"", "" dans"", "" l"", ""'ass"", ""iet"", ""te"", "" de"", "" cot"", ""isations"", "" mention"", ""n\u00e9e"", "" ("", ""Source"", "" "", ""3"", "").""]","D'après les sources fournies, les Prestations en Nature Action Sanitaire, Sociale et Familiale (A.S.S.F) ont pour objectif de compléter les prestations en espèces pour protéger la mère et l'enfant en palliant les insuffisances du système national de santé (Source 1 et Source 2).

Il est également précisé que les prestations familiales ne sont pas incluses dans l'assiette de cotisations mentionnée (Source 3).","["". Les Prestations en Nature Action Sanitaire, Sociale et Familiale (A.S.S.F) Objectif Compl\u00e9ter les ..."", "". Les Prestations en Nature Action Sanitaire, Sociale et Familiale (A.S.S.F) Objectif Compl\u00e9ter les ..."", "". [Page 39] Ne sont pas inclus : les frais professionnels, remboursements de frais et prestations fa...""]",,21725.95,,deepseek,False,21725.95,104,
f58a538c-1973-4e2a-91ba-5879c07d817f,2025-09-04T22:21:32.624536,Les allocations,"[""D"", ""'"", ""apr"", ""\u00e8s"", "" les"", "" sources"", "" four"", ""n"", ""ies"", "","", "" les"", "" allocations"", "" de"", "" matern"", ""it\u00e9"", "" et"", "" les"", "" allocations"", "" famil"", ""iales"", "" sont"", "" deux"", "" prest"", ""ations"", "" distinct"", ""es"", "".\n\n"", ""**"", ""All"", ""ocations"", "" de"", "" M"", ""atern"", ""it\u00e9"", "" ("", ""Source"", "" "", ""1"", "" et"", "" Source"", "" "", ""2"", "")"", ""**\n"", ""*"", ""  "", "" **"", ""B"", ""\u00e9n\u00e9"", ""fic"", ""ia"", ""ires"", ""**"", "" :"", "" Les"", "" m\u00eames"", "" que"", "" les"", "" allocations"", "" pr"", ""\u00e9n"", ""at"", ""ales"", "".\n"", ""*"", ""  "", "" **"", ""P"", ""\u00e9ri"", ""ode"", ""**"", "" :"", "" De"", "" la"", "" na"", ""issance"", "" au"", "" "", ""2"", ""\u00e8me"", "" ann"", ""ivers"", ""aire"", "" de"", "" l"", ""'en"", ""fant"", "".\n"", ""*"", ""  "", "" **"", ""Mont"", ""ant"", ""**"", "" :"", "" "", ""2"", "" "", ""250"", "" F"", ""CF"", ""A"", "" par"", "" mens"", ""ual"", ""it\u00e9"", "".\n"", ""*"", ""  "", "" **"", ""Conditions"", ""**"", "" :"", "" Na"", ""issance"", "" sous"", "" contr\u00f4le"", "" m\u00e9d"", ""ical"", "","", "" enfant"", "" n\u00e9"", "" viable"", "" et"", "" inscription"", "" \u00e0"", "" l"", ""'"", ""\u00e9tat"", "" civil"", "".\n"", ""*"", ""  "", "" **"", ""P"", ""ai"", ""ement"", ""**"", "" :"", "" Le"", "" calend"", ""rier"", "" pr\u00e9"", ""vo"", ""it"", "" des"", "" vers"", ""ements"", "" par"", "" tran"", ""ches"", "" de"", "" "", ""6"", "","", "" "", ""6"", "","", "" "", ""6"", "","", "" "", ""3"", "" et"", "" "", ""3"", "" mens"", ""ual"", ""it\u00e9s"", "" aux"", "" \u00e2"", ""ges"", "" cl"", ""\u00e9s"", "" de"", "" l"", ""'en"", ""fant"", "" ("", ""naissance"", "","", "" "", ""6"", "" mois"", "","", "" "", ""12"", "" mois"", "","", "" "", ""18"", "" mois"", "","", "" "", ""24"", "" mois"", "").\n\n"", ""**"", ""All"", ""ocations"", "" Famil"", ""iales"", "" ("", ""Source"", "" "", ""3"", "")"", ""**\n"", ""*"", ""  "", "" **"", ""B"", ""\u00e9n\u00e9"", ""fic"", ""ia"", ""ires"", ""**"", "" :"", "" Trav"", ""ailleurs"", "" sal"", ""ari"", ""\u00e9s"", "","", "" ve"", ""u"", ""ves"", "" d"", ""'"", ""alloc"", ""ata"", ""ires"", "","", "" travail"", ""leurs"", "" en"", "" incapac"", ""it\u00e9"", "" permanente"", "" totale"", "".\n"", ""*"", ""  "", "" **"", ""P"", ""\u00e9ri"", ""ode"", ""**"", "" :"", "" Elles"", "" sont"", "" dues"", "" \u00e0"", "" partir"", "" du"", "" "", ""1"", ""er"", "" jour"", "" du"", "" mois"", "" suivant"", "" le"", "" "", ""2"", ""\u00e8me"", "" ann"", ""ivers"", ""aire"", "" de"", "" l"", ""'en"", ""fant"", "" et"", "" cou"", ""v"", ""rent"", "" les"", "" tran"", ""ches"", "" d"", ""'"", ""\u00e2ge"", "" de"", "" "", ""2"", "" \u00e0"", "" "", ""14"", "" ans"", "","", "" "", ""15"", ""-"", ""18"", "" ans"", "" ("", ""app"", ""rentissage"", "")"", "" et"", "" "", ""15"", ""-"", ""21"", "" ans"", "" ("", ""\u00e9t"", ""udes"", "").\n"", ""*"", ""  "", "" **"", ""Mont"", ""ant"", ""**"", "" :"", "" "", ""2"", "" "", ""600"", "" F"", ""CF"", ""A"", "" par"", "" mois"", "" et"", "" par"", "" enfant"", "","", "" dans"", "" la"", "" limite"", "" de"", "" "", ""6"", "" enfants"", ""."", ""\n\n"", ""**"", ""Sources"", "":"", "" Source"", "" "", ""1"", "","", "" Source"", "" "", ""2"", "","", "" Source"", "" "", ""3"", "".**""]","D'après les sources fournies, les allocations de maternité et les allocations familiales sont deux prestations distinctes.

**Allocations de Maternité (Source 1 et Source 2)**
*   **Bénéficiaires** : Les mêmes que les allocations prénatales.
*   **Période** : De la naissance au 2ème anniversaire de l'enfant.
*   **Montant** : 2 250 FCFA par mensualité.
*   **Conditions** : Naissance sous contrôle médical, enfant né viable et inscription à l'état civil.
*   **Paiement** : Le calendrier prévoit des versements par tranches de 6, 6, 6, 3 et 3 mensualités aux âges clés de l'enfant (naissance, 6 mois, 12 mois, 18 mois, 24 mois).

**Allocations Familiales (Source 3)**
*   **Bénéficiaires** : Travailleurs salariés, veuves d'allocataires, travailleurs en incapacité permanente totale.
*   **Période** : Elles sont dues à partir du 1er jour du mois suivant le 2ème anniversaire de l'enfant et couvrent les tranches d'âge de 2 à 14 ans, 15-18 ans (apprentissage) et 15-21 ans (études).
*   **Montant** : 2 600 FCFA par mois et par enfant, dans la limite de 6 enfants.

**Sources: Source 1, Source 2, Source 3.**","["". Allocations de Maternit\u00e9 B\u00e9n\u00e9ficiaires M\u00eames b\u00e9n\u00e9ficiaires que les allocations pr\u00e9natales. [Page 2..."", "". Allocations de Maternit\u00e9 B\u00e9n\u00e9ficiaires M\u00eames b\u00e9n\u00e9ficiaires que les allocations pr\u00e9natales. [Page 2..."", "". Allocations Familiales B\u00e9n\u00e9ficiaires \u2022 Travailleurs salari\u00e9s (Code du travail ou marine marchande)...""]",,36760.31,,deepseek,False,36760.31,354,
58cc32c7-a9c6-49df-b630-46096a094b7a,2025-09-05T17:14:40.741454,Retraite,"[""D"", ""'"", ""apr"", ""\u00e8s"", "" les"", "" sources"", "" four"", ""n"", ""ies"", "","", "" les"", "" informations"", "" concern"", ""ant"", "" la"", "" ret"", ""ra"", ""ite"", "" sont"", "" les"", "" suiv"", ""antes"", "" :\n\n"", ""**"", ""Conditions"", "" d"", ""'ad"", ""mission"", "" pour"", "" b\u00e9n\u00e9"", ""fic"", ""ier"", "" d"", ""'une"", "" pension"", "" de"", "" ret"", ""ra"", ""ite"", "" ("", ""B"", ""ran"", ""che"", "" Vie"", ""ill"", ""esse"", "")"", "" :"", ""**\n"", ""*"", ""  "", "" **"", ""Conditions"", "" de"", "" cot"", ""isation"", "" :"", ""**"", "" A"", ""voir"", "" cot"", ""is\u00e9"", "" au"", "" minimum"", "" "", ""10"", "" ans"", "" OU"", "" avoir"", "" capital"", ""is\u00e9"", "" au"", "" moins"", "" "", ""1"", "" "", ""000"", "" points"", "".\n"", ""*"", ""  "", "" **"", ""Conditions"", "" d"", ""'"", ""\u00e2ge"", "" :"", ""**"", "" \u00c2"", ""ge"", "" normal"", "" de"", "" d\u00e9part"", "" est"", "" de"", "" "", ""60"", "" ans"", ""."", "" Une"", "" anticipation"", "" est"", "" possible"", "" \u00e0"", "" partir"", "" de"", "" "", ""55"", "" ans"", "" avec"", "" un"", "" ab"", ""att"", ""ement"", "" de"", "" "", ""5"", ""%"", "" par"", "" ann\u00e9e"", "" d"", ""'"", ""antic"", ""ipation"", "".\n"", ""*"", ""  "", "" **"", ""Condition"", "" d"", ""'"", ""activ"", ""it"", ""\u00e9"", "" :"", ""**"", "" A"", ""voir"", "" cess"", ""\u00e9"", "" toute"", "" activit\u00e9"", "" sal"", ""ari"", ""\u00e9e"", ""."", ""\n\n"", ""**"", ""Calcul"", "" de"", "" la"", "" pension"", "" :"", ""**\n"", ""La"", "" pension"", "" s"", ""'app"", ""l"", ""ique"", "" aux"", "" R\u00e9g"", ""imes"", "" G\u00e9n"", ""\u00e9ral"", "" ("", ""RG"", "")"", "" et"", "" Compl"", ""\u00e9ment"", ""aire"", "" Cad"", ""re"", "" ("", ""R"", ""CC"", "")."", "" Elle"", "" est"", "" calcul"", ""\u00e9e"", "" selon"", "" la"", "" formule"", "" :\n"", ""**"", ""P"", ""ension"", "" mens"", ""uelle"", "" ="", "" Nom"", ""bre"", "" de"", "" points"", "" serv"", ""is"", "" \u00d7"", "" Vale"", ""ur"", "" mens"", ""uelle"", "" du"", "" point"", ""**\n"", ""Son"", "" mont"", ""ant"", "" d\u00e9pend"", "" principal"", ""ement"", "" de"", "" la"", "" dur\u00e9e"", "" de"", "" cot"", ""isation"", "" et"", "" du"", "" niveau"", "" de"", "" sal"", ""aire"", "".\n\n"", ""**"", ""Date"", "" de"", "" prise"", "" d"", ""'"", ""eff"", ""et"", "" :"", ""**\n"", ""Les"", "" allocations"", "" pre"", ""nn"", ""ent"", "" effet"", "" le"", "" premier"", "" jour"", "" du"", "" mois"", "" au"", "" cours"", "" du"", ""quel"", "" la"", "" demande"", "" parv"", ""ient"", "" \u00e0"", "" l"", ""'"", ""IP"", ""RES"", "".\n\n"", ""**"", ""Aff"", ""iliation"", "" et"", "" cot"", ""isation"", "" ("", ""R"", ""\u00e9g"", ""ime"", "" G\u00e9n"", ""\u00e9ral"", "")"", "" :"", ""**\n"", ""T"", ""ous"", "" les"", "" membres"", "" participants"", "" sont"", "" automat"", ""iquement"", "" affili"", ""\u00e9s"", "" au"", "" R\u00e9g"", ""ime"", "" G\u00e9n"", ""\u00e9ral"", "".\n"", ""*"", ""  "", "" **"", ""T"", ""aux"", "" global"", "" de"", "" cot"", ""isation"", "" :"", ""**"", "" "", ""14"", ""%\n"", ""*"", ""  "", "" **"", ""R\u00e9"", ""partition"", "" :"", ""**\n"", ""   "", "" *"", ""  "", "" Part"", "" employ"", ""eur"", "" :"", "" "", ""8"", "","", ""4"", ""%\n"", ""   "", "" *"", ""  "", "" Part"", "" sal"", ""ari"", ""\u00e9"", "" :"", "" "", ""5"", "","", ""6"", ""%\n\n"", ""Source"", "" "", ""1"", "":"", "" ["", ""Page"", "" "", ""14"", ""],"", "" Source"", "" "", ""2"", "":"", "" ["", ""Page"", "" "", ""14"", ""],"", "" Source"", "" "", ""3"", "":"", "" ["", ""Page"", "" "", ""6"", ""]""]","D'après les sources fournies, les informations concernant la retraite sont les suivantes :

**Conditions d'admission pour bénéficier d'une pension de retraite (Branche Vieillesse) :**
*   **Conditions de cotisation :** Avoir cotisé au minimum 10 ans OU avoir capitalisé au moins 1 000 points.
*   **Conditions d'âge :** Âge normal de départ est de 60 ans. Une anticipation est possible à partir de 55 ans avec un abattement de 5% par année d'anticipation.
*   **Condition d'activité :** Avoir cessé toute activité salariée.

**Calcul de la pension :**
La pension s'applique aux Régimes Général (RG) et Complémentaire Cadre (RCC). Elle est calculée selon la formule :
**Pension mensuelle = Nombre de points servis × Valeur mensuelle du point**
Son montant dépend principalement de la durée de cotisation et du niveau de salaire.

**Date de prise d'effet :**
Les allocations prennent effet le premier jour du mois au cours duquel la demande parvient à l'IPRES.

**Affiliation et cotisation (Régime Général) :**
Tous les membres participants sont automatiquement affiliés au Régime Général.
*   **Taux global de cotisation :** 14%
*   **Répartition :**
    *   Part employeur : 8,4%
    *   Part salarié : 5,6%

Source 1: [Page 14], Source 2: [Page 14], Source 3: [Page 6]","["". 1. Pension de Retraite (Branche Vieillesse) Conditions d'admission Pour b\u00e9n\u00e9ficier d'une pension d..."", "". 1. Pension de Retraite (Branche Vieillesse) Conditions d'admission Pour b\u00e9n\u00e9ficier d'une pension d..."", "". Les R\u00e9gimes de Retraite au S\u00e9n\u00e9gal 1. Le R\u00e9gime G\u00e9n\u00e9ral Affiliation Tous les membres participants ...""]",,30542.89,,deepseek,False,30542.89,364,
0cd9a492-e27f-4d7c-9ab6-1d548dc60b2e,2025-09-05T17:36:14.362842,Retraite,"[""D"", ""'"", ""apr"", ""\u00e8s"", "" les"", "" sources"", "" four"", ""n"", ""ies"", "","", "" vo"", ""ici"", "" les"", "" informations"", "" concern"", ""ant"", "" la"", "" ret"", ""ra"", ""ite"", "" au"", "" S"", ""\u00e9n\u00e9"", ""gal"", "" :\n\n"", ""**"", ""Conditions"", "" d"", ""'ad"", ""mission"", "" pour"", "" b\u00e9n\u00e9"", ""fic"", ""ier"", "" d"", ""'une"", "" pension"", "" de"", "" ret"", ""ra"", ""ite"", "" ("", ""B"", ""ran"", ""che"", "" Vie"", ""ill"", ""esse"", "")"", "" :"", ""**\n"", ""-"", "" **"", ""Conditions"", "" de"", "" cot"", ""isation"", "" :"", ""**"", "" A"", ""voir"", "" cot"", ""is\u00e9"", "" au"", "" minimum"", "" "", ""10"", "" ans"", "" OU"", "" avoir"", "" capital"", ""is\u00e9"", "" au"", "" moins"", "" "", ""1"", "" "", ""000"", "" points"", "" ("", ""Source"", "" "", ""2"", "","", "" Source"", "" "", ""3"", "").\n"", ""-"", "" **"", ""Conditions"", "" d"", ""'"", ""\u00e2ge"", "" :"", ""**"", "" \u00c2"", ""ge"", "" normal"", "" de"", "" "", ""60"", "" ans"", ""."", "" Une"", "" anticipation"", "" est"", "" possible"", "" \u00e0"", "" partir"", "" de"", "" "", ""55"", "" ans"", "" avec"", "" un"", "" ab"", ""att"", ""ement"", "" de"", "" "", ""5"", ""%"", "" par"", "" ann\u00e9e"", "" d"", ""'"", ""antic"", ""ipation"", "" ("", ""Source"", "" "", ""2"", "","", "" Source"", "" "", ""3"", "").\n"", ""-"", "" **"", ""Condition"", "" d"", ""'"", ""activ"", ""it"", ""\u00e9"", "" :"", ""**"", "" A"", ""voir"", "" cess"", ""\u00e9"", "" toute"", "" activit\u00e9"", "" sal"", ""ari"", ""\u00e9e"", "" ("", ""Source"", "" "", ""2"", "","", "" Source"", "" "", ""3"", "").\n\n"", ""**"", ""Calcul"", "" de"", "" la"", "" pension"", "" :"", ""**\n"", ""La"", "" pension"", "" s"", ""'app"", ""l"", ""ique"", "" aux"", "" R\u00e9g"", ""imes"", "" G\u00e9n"", ""\u00e9ral"", "" ("", ""RG"", "")"", "" et"", "" Compl"", ""\u00e9ment"", ""aire"", "" Cad"", ""re"", "" ("", ""R"", ""CC"", "").\n"", ""La"", "" formule"", "" de"", "" calcul"", "" est"", "" :"", "" **"", ""P"", ""ension"", "" mens"", ""uelle"", "" ="", "" Nom"", ""bre"", "" de"", "" points"", "" serv"", ""is"", "" \u00d7"", "" Vale"", ""ur"", "" mens"", ""uelle"", "" du"", "" point"", ""**\n"", ""Le"", "" mont"", ""ant"", "" d\u00e9pend"", "" principal"", ""ement"", "" de"", "" la"", "" dur\u00e9e"", "" de"", "" cot"", ""isation"", "" et"", "" du"", "" niveau"", "" de"", "" sal"", ""aire"", "" ("", ""Source"", "" "", ""2"", "","", "" Source"", "" "", ""3"", "")."", ""\n\n"", ""**"", ""Pr"", ""ise"", "" d"", ""'"", ""eff"", ""et"", "" :"", ""**\n"", ""Les"", "" allocations"", "" pre"", ""nn"", ""ent"", "" effet"", "" le"", "" premier"", "" jour"", "" du"", "" mois"", "" au"", "" cours"", "" du"", ""quel"", "" la"", "" demande"", "" parv"", ""ient"", "" \u00e0"", "" l"", ""'"", ""IP"", ""RES"", "" ("", ""Source"", "" "", ""2"", "","", "" Source"", "" "", ""3"", "").\n\n"", ""**"", ""Aff"", ""iliation"", "" et"", "" cot"", ""isation"", "" au"", "" R\u00e9g"", ""ime"", "" G\u00e9n"", ""\u00e9ral"", "" :"", ""**\n"", ""-"", "" T"", ""ous"", "" les"", "" membres"", "" participants"", "" sont"", "" automat"", ""iquement"", "" affili"", ""\u00e9s"", "" au"", "" R\u00e9g"", ""ime"", "" G\u00e9n"", ""\u00e9ral"", "".\n"", ""-"", "" Le"", "" taux"", "" global"", "" de"", "" cot"", ""isation"", "" est"", "" de"", "" "", ""14"", ""%,"", "" r\u00e9"", ""part"", ""i"", "" comme"", "" suit"", "" :\n"", ""   "", "" -"", "" Part"", "" employ"", ""eur"", "" :"", "" "", ""8"", "","", ""4"", ""%\n"", ""   "", "" -"", "" Part"", "" sal"", ""ari"", ""\u00e9"", "" :"", "" "", ""5"", "","", ""6"", ""%\n"", ""("", ""Source"", "" "", ""1"", "")""]","D'après les sources fournies, voici les informations concernant la retraite au Sénégal :

**Conditions d'admission pour bénéficier d'une pension de retraite (Branche Vieillesse) :**
- **Conditions de cotisation :** Avoir cotisé au minimum 10 ans OU avoir capitalisé au moins 1 000 points (Source 2, Source 3).
- **Conditions d'âge :** Âge normal de 60 ans. Une anticipation est possible à partir de 55 ans avec un abattement de 5% par année d'anticipation (Source 2, Source 3).
- **Condition d'activité :** Avoir cessé toute activité salariée (Source 2, Source 3).

**Calcul de la pension :**
La pension s'applique aux Régimes Général (RG) et Complémentaire Cadre (RCC).
La formule de calcul est : **Pension mensuelle = Nombre de points servis × Valeur mensuelle du point**
Le montant dépend principalement de la durée de cotisation et du niveau de salaire (Source 2, Source 3).

**Prise d'effet :**
Les allocations prennent effet le premier jour du mois au cours duquel la demande parvient à l'IPRES (Source 2, Source 3).

**Affiliation et cotisation au Régime Général :**
- Tous les membres participants sont automatiquement affiliés au Régime Général.
- Le taux global de cotisation est de 14%, réparti comme suit :
    - Part employeur : 8,4%
    - Part salarié : 5,6%
(Source 1)","["". Les R\u00e9gimes de Retraite au S\u00e9n\u00e9gal 1. Le R\u00e9gime G\u00e9n\u00e9ral Affiliation Tous les membres participants ..."", "". 1. Pension de Retraite (Branche Vieillesse) Conditions d'admission Pour b\u00e9n\u00e9ficier d'une pension d..."", "". 1. Pension de Retraite (Branche Vieillesse) Conditions d'admission Pour b\u00e9n\u00e9ficier d'une pension d...""]",,37143.77,,deepseek,False,37143.77,369,
